Công Ty Tnhh Dịch Vụ Địa Ốc Vàng@Hà Nội@Trợ lý Nhân Sự@10/03/2021@['KD bất động sản', 'Hành chính - Văn phòng', 'Nhân sự']@5 - 7 triệu@Không yêu cầu@Không yêu cầu@Không yêu cầu
Công ty CP Tập Đoàn Nhà Phố Việt Nam@Hà Nội@Nhân viên kinh doanh, không yêu cầu kinh nghiệm, đào tạo miễn phí@10/03/2021@['KD bất động sản', 'Nhân viên kinh doanh', 'Tư vấn']@Trên 30 triệu@Không yêu cầu@Không yêu cầu@Không yêu cầu
CÔNG TY CỔ PHẦN DỊCH VỤ VÀ PHÁT TRIỂN BẤT ĐỘNG SẢN PHÚ QUÝ@Đà Nẵng@Nhân viên kinh doanh bất động sản thu nhập từ 30tr trở lên@10/03/2021@['Nhân viên kinh doanh', 'KD bất động sản', 'Quản trị kinh doanh']@15 - 20 triệu@Không yêu cầu@Không yêu cầu@Không yêu cầu
Codegymvn@Hà Nội@Trợ lý tổng giám đốc@10/03/2021@Thư ký - Trợ lý@20 - 30 triệu@1 - 2 năm kinh nghiệm@Đại học trở lên@Nữ
Hoovada@Hồ Chí Minh@Tuyển content writer Quản lý Fanpage cho dự án Hoovada.com@10/03/2021@Marketing - PR@Thỏa thuận@Không yêu cầu@Không yêu cầu@Không yêu cầu
AIA EXCHANGE HÀ NỘI@Hà Nội@[ AIA HÀ NỘI] CHUYÊN VIÊN HOẠCH ĐỊNH TÀI CHÍNH@13/03/2021@['Bảo hiểm', 'Tư vấn', 'Tài chính']@15 - 20 triệu@Không yêu cầu@Đại học trở lên@Không yêu cầu
công ty cổ phần việt hoa phát@Đồng Nai@Phụ xe@15/03/2021@Vận tải - Lái xe@7 - 10 triệu@Không yêu cầu@Không yêu cầu@Nam
công ty cổ phần cơ điện tử phương anh@Hà Nội@TRƯỞNG PHÒNG KỸ THUẬT@15/03/2021@['Cơ khí - Chế tạo', 'Điện - Điện tử', 'Kỹ thuật']@15 - 20 triệu@2 - 5 năm kinh nghiệm@Đại học trở lên@Không yêu cầu
Công Ty Tnhh Jiyoon Vina@Hồ Chí Minh@Công nhân may@15/03/2021@Dệt may - Da giày@10 - 15 triệu@0 - 1 năm kinh nghiệm@Không yêu cầu@Nữ
Worklink Việt Nam@Hà Nội@Quản lý phòng tập GYM tại Long Biên Hà Nội lương 40 triệu@17/03/2021@['Chăm sóc khách hàng', 'Quản lý điều hành', 'Làm đẹp - Thể lực - Spa']@Trên 30 triệu@5 - 10 năm kinh nghiệm@THPT trở lên@Nam
Đồ Thờ Hoa An@Hà Nội@Tuyển nhân viên bán hàng và phụ giúp việc nhà bao ăn ở@17/03/2021@['Việc làm bán hàng', 'Giúp việc']@5 - 7 triệu@Không yêu cầu@Không yêu cầu@Nữ
CÔNG TY CP POSEIDON@Hồ Chí Minh@Việc làm lương 8-10 tr tháng thêm Công việc Làm Thêm part time 2-3h ngày@17/03/2021@['Lao động phổ thông', 'Ngành nghề khác', 'Tìm việc làm thêm']@10 - 15 triệu@Không yêu cầu@Trung cấp trở lên@Không yêu cầu
DNTN HOÀNG THANH@Hồ Chí Minh@Cần tuyển nam theo ghế phụ lựa hải sản@18/03/2021@['Lao động phổ thông', 'Thủy sản', 'Việc làm thời vụ']@15 - 20 triệu@Không yêu cầu@Không yêu cầu@Nam
Công Ty Thiết Bị Thẩm Mỹ Idm@Hồ Chí Minh@Nhân viên kinh doanh@20/03/2021@['Làm đẹp - Thể lực - Spa', 'Việc làm bán hàng']@7 - 10 triệu@1 - 2 năm kinh nghiệm@Trung cấp trở lên@Không yêu cầu
Công ty cổ phần tư vấn Phước Tài@Hồ Chí Minh@Tuyển Kỹ thuật viên Cơ khí đi làm việc ở nước ngoài@22/03/2021@['Cơ khí - Chế tạo', 'Điện - Điện tử']@Trên 30 triệu@Không yêu cầu@Cao đẳng trở lên@Nam
Công ty TNHH cà phe Mộc Nguyên	q@Đà Nẵng@Nhân viên kinh doanh@22/03/2021@Nhân viên kinh doanh@10 - 15 triệu@Không yêu cầu@Không yêu cầu@Không yêu cầu
công ty cổ phần cơ điện tử phương anh@Hà Nội@Nhân viên quản lý kho và quản lý kế hoạch giao hàng.@23/03/2021@['Vận chuyển giao nhận', 'Việc làm bán hàng']@Thỏa thuận@Không yêu cầu@Không yêu cầu@Không yêu cầu
CÔNG TY TNHH HOMENAY@Hồ Chí Minh@Trưởng phòng Kinh doanh@23/03/2021@['KD bất động sản', 'Nhân viên kinh doanh', 'Quản trị kinh doanh']@10 - 15 triệu@2 - 5 năm kinh nghiệm@Không yêu cầu@Không yêu cầu
CÔNG TY TNHH HOMENAY@Hồ Chí Minh@Nhân Viên Kỹ Sư Điện@23/03/2021@['Kỹ thuật', 'Xây dựng', 'Điện - Điện tử']@10 - 15 triệu@2 - 5 năm kinh nghiệm@Không yêu cầu@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@Tuyển Nhân viên CSKH (Thu nhập 10 - 30 Triệu)@26/03/2021@['Telesales', 'Tư vấn', 'Tài chính']@15 - 20 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
AMVN Language Solutions@Hà Nội@Cộng tác viên biên dịch tiếng Hàn@26/03/2021@Freelancer@5 - 7 triệu@Không yêu cầu@Đại học trở lên@Không yêu cầu
